name,Region,Last Update,Confirmed,Deaths,Recovered
Italy,Italy,2020-05-22 19:00:00,228658,32616,136720
Peru,Peru,2020-05-22 23:00:00,111698,3244,44848
Greece,Greece,2020-05-22 19:00:00,2874,169,1442
Chile,Chile,2020-05-22 17:00:00,61857,630,25342
Argentina,Argentina,2020-05-23 02:00:00,10649,433,3062
Brazil,Brazil,2020-05-23 01:00:00,330890,21048,135430
Colombia,Colombia,2020-05-23 01:00:00,19131,682,4575
Germany,Germany,2020-05-23 00:00:00,180345,8439,159064
New York,USA,2020-05-23 03:00:00,363272,27999,41376
New Jersey,USA,2020-05-23 03:00:00,152579,10985,3736
Illinois,USA,2020-05-23 03:00:00,105444,4715,3353
Massachusetts,USA,2020-05-23 03:00:00,90889,6228,19712
California,USA,2020-05-23 03:00:00,90628,3672,12602
Pennsylvania,USA,2020-05-23 03:00:00,70211,5010,1369
Michigan,USA,2020-05-23 03:00:00,53913,5158,28234
Texas,USA,2020-05-23 03:00:00,53539,1470,32277
Florida,USA,2020-05-23 03:00:00,49451,2190,381
Maryland,USA,2020-05-23 03:00:00,44424,2207,3243
Georgia,USA,2020-05-23 03:00:00,41482,1808,340
Connecticut,USA,2020-05-23 03:00:00,39640,3637,63
Louisiana,USA,2020-05-23 03:00:00,36925,2668,26249
Virginia,USA,2020-05-23 03:00:00,34950,1136,4963
Ohio,USA,2020-05-23 03:00:00,30794,1872,4604
Indiana,USA,2020-05-23 03:00:00,30409,1941,1954
Colorado,USA,2020-05-23 03:00:00,23524,1325,1491
North Carolina,USA,2020-05-23 03:00:00,22111,775,11637
Washington,USA,2020-05-23 03:00:00,19996,1055,4580
Tennessee,USA,2020-05-23 03:00:00,19394,315,12566
Minnesota,USA,2020-05-23 03:00:00,19005,851,12696
Iowa,USA,2020-05-23 03:00:00,16508,441,9186
Arizona,USA,2020-05-23 03:00:00,15720,778,6
Wisconsin,USA,2020-05-23 03:00:00,14396,496,8349
Rhode Island,USA,2020-05-23 03:00:00,13736,579,1084
Alabama,USA,2020-05-23 03:00:00,13670,541,0
Veteran Affair,USA,2020-05-23 03:00:00,13123,1112,0
Mississippi,USA,2020-05-23 03:00:00,12625,596,6268
Missouri,USA,2020-05-23 03:00:00,11844,677,3017
Nebraska,USA,2020-05-23 03:00:00,11662,147,349
South Carolina,USA,2020-05-23 03:00:00,9638,419,5076
US Military,USA,2020-05-23 03:00:00,8950,32,4613
Kansas,USA,2020-05-23 03:00:00,8909,205,3793
Delaware,USA,2020-05-23 03:00:00,8529,322,4296
Kentucky,USA,2020-05-23 03:00:00,8426,391,3069
Utah,USA,2020-05-23 03:00:00,8057,93,4075
District of Columbia,USA,2020-05-23 03:00:00,7893,418,1069
Nevada,USA,2020-05-23 03:00:00,7526,387,5429
New Mexico,USA,2020-05-23 03:00:00,6625,302,2041
Oklahoma,USA,2020-05-23 03:00:00,5849,307,4535
Arkansas,USA,2020-05-23 03:00:00,5612,113,4029
Federal Bureau of Prisons,USA,2020-05-23 03:00:00,5288,59,3441
Navajo Nation,USA,2020-05-23 03:00:00,4434,147,930
South Dakota,USA,2020-05-23 03:00:00,4356,50,3267
New Hampshire,USA,2020-05-23 03:00:00,4014,204,2082
Oregon,USA,2020-05-23 03:00:00,3864,147,1894
Puerto Rico,USA,2020-05-23 03:00:00,3030,126,850
Idaho,USA,2020-05-23 03:00:00,2595,79,1688
North Dakota,USA,2020-05-23 03:00:00,2317,52,1405
Maine,USA,2020-05-23 03:00:00,1948,75,1192
West Virginia,USA,2020-05-23 03:00:00,1705,72,1107
Vermont,USA,2020-05-23 03:00:00,952,54,796
Wyoming,USA,2020-05-23 03:00:00,803,12,551
Hawaii,USA,2020-05-23 03:00:00,654,17,586
Montana,USA,2020-05-23 03:00:00,479,16,440
Alaska,USA,2020-05-23 03:00:00,404,10,356
Guam,USA,2020-05-23 03:00:00,165,5,128
Grand Princess,USA,2020-05-23 03:00:00,103,3,0
United States Virgin Islands,USA,2020-05-23 03:00:00,69,6,61
Diamond Princess,USA,2020-05-23 03:00:00,49,0,0
Northern Mariana Islands,USA,2020-05-23 03:00:00,22,2,13
Wuhan Evacuee,USA,2020-05-23 03:00:00,4,0,0
